upd   71 | step   145408 |    84 sps | ret     8.20 | succ 0.41 | mean_lvl 22.8 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0033 | ent 0.908
upd   72 | step   147456 |    84 sps | ret     7.20 | succ 0.36 | mean_lvl 22.7 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0030 | ent 0.785
upd   73 | step   149504 |    84 sps | ret     7.80 | succ 0.39 | mean_lvl 22.8 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0024 | ent 0.870
upd   74 | step   151552 |    84 sps | ret     8.60 | succ 0.43 | mean_lvl 22.8 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0055 | ent 0.902
upd   75 | step   153600 |    84 sps | ret     6.40 | succ 0.32 | mean_lvl 22.6 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0033 | ent 0.984
upd   76 | step   155648 |    84 sps | ret     8.00 | succ 0.40 | mean_lvl 22.8 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0061 | ent 1.073
upd   77 | step   157696 |    84 sps | ret     7.80 | succ 0.39 | mean_lvl 22.8 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0034 | ent 1.107
upd   78 | step   159744 |    84 sps | ret     5.40 | succ 0.27 | mean_lvl 22.5 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0041 | ent 1.085
upd   79 | step   161792 |    84 sps | ret     5.80 | succ 0.29 | mean_lvl 22.6 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0041 | ent 1.163
upd   80 | step   163840 |    84 sps | ret     7.60 | succ 0.38 | mean_lvl 22.7 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0069 | ent 1.252
upd   81 | step   165888 |    84 sps | ret     7.60 | succ 0.38 | mean_lvl 22.7 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0023 | ent 1.240
upd   82 | step   167936 |    84 sps | ret     6.00 | succ 0.30 | mean_lvl 22.6 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0071 | ent 1.185
upd   83 | step   169984 |    84 sps | ret     6.80 | succ 0.34 | mean_lvl 22.7 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0079 | ent 1.337
upd   84 | step   172032 |    84 sps | ret     7.00 | succ 0.35 | mean_lvl 22.7 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0124 | ent 1.327
upd   85 | step   174080 |    84 sps | ret     6.80 | succ 0.34 | mean_lvl 22.7 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0077 | ent 1.420
upd   86 | step   176128 |    84 sps | ret     5.40 | succ 0.27 | mean_lvl 22.5 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0042 | ent 1.418
upd   87 | step   178176 |    84 sps | ret     8.80 | succ 0.44 | mean_lvl 22.9 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0059 | ent 1.436
upd   88 | step   180224 |    84 sps | ret     6.80 | succ 0.34 | mean_lvl 22.7 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0022 | ent 1.287
upd   89 | step   182272 |    84 sps | ret     6.80 | succ 0.34 | mean_lvl 22.7 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0061 | ent 1.376
upd   90 | step   184320 |    84 sps | ret     7.40 | succ 0.37 | mean_lvl 22.7 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0053 | ent 1.395
upd   91 | step   186368 |    84 sps | ret     6.80 | succ 0.34 | mean_lvl 22.7 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0132 | ent 1.350
upd   92 | step   188416 |    84 sps | ret     6.80 | succ 0.34 | mean_lvl 22.7 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0034 | ent 1.386
upd   93 | step   190464 |    84 sps | ret     7.00 | succ 0.35 | mean_lvl 22.7 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0040 | ent 1.439
upd   94 | step   192512 |    84 sps | ret     6.40 | succ 0.32 | mean_lvl 22.6 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0070 | ent 1.364
upd   95 | step   194560 |    84 sps | ret     5.00 | succ 0.25 | mean_lvl 22.5 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0044 | ent 1.203
upd   96 | step   196608 |    84 sps | ret     6.80 | succ 0.34 | mean_lvl 22.7 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0093 | ent 1.268
upd   97 | step   198656 |    84 sps | ret     5.60 | succ 0.28 | mean_lvl 22.6 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0023 | ent 1.112
upd   98 | step   200704 |    84 sps | ret     5.80 | succ 0.29 | mean_lvl 22.6 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0055 | ent 1.090
upd   99 | step   202752 |    84 sps | ret     5.20 | succ 0.26 | mean_lvl 22.5 | max_lvl 24 | cur 7/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0036 | ent 1.025
upd  100 | step   204800 |    84 sps | ret     6.00 | succ 0.30 | mean_lvl 22.6 | max_lvl 24 | cur 6/9 pb 0.0 | focus (240,184) f=1.0 | kl +0.0035 | ent 1.015
